,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
164,0,NE,1583382547,7,14.32,2.09,23.88,4.0
165,99,NO,1583382548,73,70.37,31.11,-6.0,7.7
166,90,US,1583382548,64,58.3,-134.42,2.22,5.7
167,75,AL,1583382548,46,42.36,20.08,10.0,5.1
168,85,VN,1583382548,89,22.83,104.98,13.21,1.96
169,49,BR,1583382548,80,-9.01,-35.22,28.27,4.52
170,100,ID,1583382548,94,-0.03,109.33,23.58,0.4
171,3,TD,1583382548,9,13.64,16.49,26.32,4.97
172,75,CA,1583382548,69,65.28,-126.83,-25.0,2.6
173,20,NP,1583382549,59,27.72,85.32,16.0,2.1
174,75,US,1583382446,73,22.08,-159.32,26.0,1.38
175,40,MU,1583382549,94,-20.34,57.76,27.78,3.1
176,20,MY,1583382549,74,5.41,100.34,32.0,3.1
177,0,CA,1583382549,65,44.62,-65.77,3.89,9.83
178,95,BR,1583382549,91,-3.38,-57.72,24.66,0.98
179,1,US,1583382549,37,35.15,-107.85,1.0,3.1
180,34,LY,1583382550,64,31.21,16.59,12.78,9.28
181,100,BR,1583382550,95,-3.28,-39.27,23.4,0.94
182,0,YE,1583382550,72,15.17,44.32,9.72,0.32
183,5,MX,1583382550,83,15.74,-96.47,27.0,1.5
184,8,IN,1583382550,75,11.67,92.75,27.04,4.28
185,77,MX,1583382550,71,23.17,-97.95,21.67,1.34
186,90,US,1583382550,86,42.25,-75.83,2.78,4.6
187,100,NO,1583382551,66,68.56,14.91,0.0,2.68
188,40,JP,1583382551,41,34.67,138.95,15.0,4.6
189,64,PH,1583382551,47,10.38,119.46,31.49,3.05
190,100,RU,1583382551,97,57.02,28.91,6.05,1.99
191,57,UA,1583382551,62,45.4,34.76,9.83,5.75
192,46,MX,1583382551,94,20.22,-96.78,21.42,1.43
193,0,UY,1583382551,81,-33.7,-53.46,18.76,3.35
194,20,BR,1583382552,88,-3.74,-38.65,26.0,1.5
195,3,MM,1583382552,47,16.28,95.68,28.76,2.93
196,40,CA,1583382552,84,47.67,-52.73,3.33,11.8
197,100,BR,1583382289,97,-0.13,-67.09,24.09,0.91
198,89,NZ,1583382552,65,-36.83,175.7,23.89,2.24
199,20,IN,1583382488,74,19.8,85.85,26.0,1.5
200,33,PE,1583382552,89,-5.23,-75.68,24.27,0.74
201,0,CN,1583382552,44,42.27,118.96,-2.81,6.29
202,100,ID,1583382553,90,-7.95,110.28,22.91,2.9
203,0,PK,1583382553,29,25.26,63.47,18.47,14.81
204,0,MR,1583382458,51,18.09,-15.98,17.0,3.1
205,100,ID,1583382553,90,-3.37,135.48,25.32,0.81
206,24,LK,1583382553,74,5.97,80.42,26.71,2.61
207,100,GA,1583382553,79,-0.72,8.78,27.91,3.82
208,62,CD,1583382553,97,-7.3,27.42,19.49,0.93
209,40,IN,1583382553,70,10.57,72.64,29.0,2.1
210,0,CN,1583382554,53,32.9,115.82,9.77,5.95
211,1,US,1583382554,44,43.13,-115.69,7.78,1.65
212,0,SO,1583382359,64,9.49,50.81,25.21,3.13
213,0,MX,1583382554,62,29.05,-109.23,10.4,1.35
214,100,BR,1583382554,84,-17.71,-39.25,27.53,7.65
215,100,ES,1583382554,82,43.21,-8.69,13.33,5.1
216,0,DM,1583382555,75,15.25,-61.38,25.77,9.32
217,75,PW,1583382555,79,7.04,134.26,29.0,5.1
218,33,RU,1583382555,81,68.05,39.51,-12.12,5.72
219,0,ZA,1583382556,68,-29.66,17.89,18.28,1.15
220,20,PT,1583382556,71,37.8,-25.58,13.89,3.1
221,49,BR,1583382556,80,-8.76,-35.1,28.27,4.52
222,85,PG,1583382556,72,-6.22,155.63,29.46,2.18
223,75,AU,1583382556,94,-31.43,152.92,24.44,5.1
224,89,TR,1583382556,50,40.17,34.84,5.63,2.3
225,87,RU,1583382556,96,51.23,47.52,1.05,2.64
226,100,GA,1583382557,93,-1.57,9.26,24.44,0.88
227,0,AR,1583382557,68,-32.95,-60.64,23.89,3.1
228,90,US,1583382523,69,57.05,-135.33,3.0,6.7
229,0,NZ,1583382557,48,-45.42,167.72,12.46,1.04
230,0,BR,1583382310,81,-32.03,-52.1,18.33,5.26
231,100,RU,1583382557,94,73.51,80.55,-23.96,8.59
232,28,BR,1583382557,96,-8.16,-70.77,23.05,0.76
233,94,CN,1583382557,77,23.24,111.53,16.33,1.91
234,100,RU,1583382558,78,50.68,156.12,-2.93,1.13
235,33,LY,1583382558,68,29.11,21.29,14.22,8.14
236,88,BR,1583382558,97,-1.83,-44.87,23.1,0.78
237,12,PH,1583382558,51,17.21,120.41,30.05,3.75
238,67,ET,1583382558,77,7.13,40.7,15.27,1.09
239,0,MR,1583382558,8,20.5,-10.07,20.59,2.16
240,100,RU,1583382558,57,44.5,38.14,12.89,2.21
241,90,CA,1583382559,68,68.22,-135.01,-28.0,3.6
242,100,CA,1583382559,96,66.15,-65.71,-13.25,0.34
243,75,AU,1583382559,100,-34.58,150.86,21.67,4.1
244,0,UY,1583382559,42,-30.28,-57.6,22.84,3.98
245,62,GL,1583382559,73,65.61,-37.64,-6.0,2.1
246,100,RU,1583382559,87,59.7,150.17,-12.56,1.73
247,0,LS,1583382559,67,-29.29,29.07,8.2,3.2
248,24,LK,1583382560,74,5.95,80.54,26.71,2.61
249,51,RU,1583382560,80,51.02,116.52,-10.47,1.04
250,0,IT,1583382560,65,42.81,10.31,6.67,2.1
251,75,AU,1583382560,58,-26.8,153.13,29.0,6.7
252,60,RE,1583382560,83,-21.34,55.48,30.0,1.42
253,100,RU,1583382560,82,71.69,128.87,-16.61,5.91
254,95,KZ,1583382560,91,52.45,64.63,-7.35,2.36
255,20,PH,1583382561,66,14.31,121.11,31.67,3.6
256,73,RU,1583382561,61,46.41,37.96,9.74,4.41
257,90,CA,1583382561,94,47.79,-64.94,0.56,5.1
